queue_length,processing_rate,active_counters,capacity,current_arrivals,hour,day_of_week,number_of_tokens,completed_tokens,waiting_time_minutes
38,2.99,5,81,3,16,6,46,8,153.26
28,9.17,5,36,11,14,4,36,8,42.78
14,6.76,4,75,12,17,4,17,3,34.44
42,6.93,5,75,3,17,5,56,14,74.73
7,6.9,3,45,9,15,3,17,10,20.86
20,4.39,2,53,6,16,2,20,0,141.21
38,9.48,5,90,8,13,5,55,17,56.57
18,9.58,3,83,1,17,4,18,0,41.5
22,7.0,3,91,11,9,0,29,7,64.66
10,8.27,3,30,13,9,6,25,15,18.67
10,6.9,3,78,0,11,5,27,17,37.26
23,5.88,4,54,1,16,1,31,8,59.13
35,7.29,3,39,6,14,2,46,11,110.32
39,6.42,4,45,12,9,6,57,18,91.91
23,6.78,4,87,9,15,5,40,17,49.85
2,8.27,3,58,5,14,4,6,4,6.24
21,5.85,2,35,3,16,4,22,1,105.97
1,2.33,3,45,0,15,2,7,6,12.42
23,3.31,3,49,12,10,1,32,9,159.38
43,5.51,3,72,0,8,5,57,14,154.96
29,7.8,2,55,4,9,5,35,6,108.78
37,6.75,1,62,14,9,3,41,4,329.88
1,7.2,1,55,0,11,0,15,14,10.14
20,5.83,4,74,11,13,4,39,19,60.3
32,6.93,4,92,14,11,5,51,19,76.62
11,4.63,2,96,6,16,5,25,14,66.44
21,5.76,5,81,12,11,6,30,9,52.18
43,7.95,1,97,10,13,6,56,13,377.46
24,8.97,4,55,0,13,5,33,9,43.05
48,5.47,1,31,0,17,1,64,16,531.35
26,2.35,2,43,1,17,0,39,13,332.87
41,3.29,2,59,12,8,5,42,1,373.46
27,2.17,5,78,13,15,2,42,15,148.33
15,7.23,5,41,10,10,4,27,12,24.49
14,4.66,2,73,11,13,3,22,8,106.64
46,6.34,4,62,9,10,6,52,6,122.83
43,5.95,1,42,2,9,2,58,15,431.55
2,2.65,3,55,12,12,4,11,9,20.32
36,5.23,5,50,10,8,6,44,8,77.01
6,3.76,3,57,14,16,1,12,6,27.31
20,5.35,4,77,0,14,6,35,15,64.47
8,3.63,5,69,14,10,0,16,8,31.3
38,8.72,3,95,8,11,0,54,16,101.64
17,3.39,4,52,9,13,4,36,19,85.51
3,9.69,1,77,7,10,2,9,6,28.96
24,5.33,4,31,4,14,3,34,10,77.03
13,8.77,5,49,12,13,1,20,7,19.76
49,7.03,2,88,10,16,4,55,6,206.71
8,7.88,1,75,1,12,1,26,18,70.4
25,8.14,3,32,4,11,0,44,19,72.47
1,6.04,5,84,5,10,5,12,11,5.9
19,6.35,2,41,13,17,5,25,6,85.35
27,6.11,4,69,14,8,3,34,7,65.53
46,6.7,2,95,0,10,1,52,6,238.05
6,2.24,5,45,10,10,4,11,5,38.81
43,5.16,5,63,3,14,3,51,8,114.93
7,6.85,2,73,8,14,6,19,12,36.89
46,6.78,4,35,1,8,6,52,6,99.32
34,8.34,2,93,4,10,2,41,7,145.26
13,7.24,5,51,0,15,5,29,16,24.52
16,9.94,5,47,3,16,4,32,16,15.29
35,4.27,3,41,3,14,1,50,15,185.26
49,4.87,3,81,5,14,3,50,1,228.12
39,5.07,1,80,9,15,4,46,7,463.5
3,5.73,5,77,8,13,3,19,16,3.38
1,8.69,3,48,2,10,3,13,12,1.65
5,3.89,2,35,8,8,3,22,17,39.96
41,8.21,4,56,5,14,1,50,9,85.97
3,5.24,2,82,6,8,4,4,1,17.94
28,6.81,4,77,11,8,0,29,1,58.43
17,7.06,3,36,9,16,0,30,13,49.94
25,4.98,1,88,1,17,1,40,15,299.2
43,6.1,2,98,10,14,6,49,6,242.19
33,5.3,2,40,9,11,1,44,11,215.35
9,2.55,2,44,13,13,5,22,13,121.93
35,5.5,4,93,5,8,3,38,3,95.57
13,2.78,3,32,5,14,4,16,3,105.34
30,5.24,2,98,1,13,4,47,17,196.61
47,6.74,2,52,1,11,2,49,2,240.47
14,6.64,1,82,13,14,2,14,0,141.46
7,7.3,1,66,1,10,0,23,16,64.77
13,2.76,3,38,9,8,2,19,6,95.29
22,7.22,3,44,11,11,2,37,15,66.28
39,4.5,5,32,0,10,0,43,4,123.14
20,5.19,1,99,4,8,5,38,18,234.92
15,8.86,5,46,7,9,6,21,6,16.57
44,2.07,4,55,1,12,0,57,13,370.34
17,6.71,5,50,12,15,6,18,1,29.98
46,6.79,2,50,14,8,2,48,2,204.5
23,5.17,5,40,4,11,4,39,16,59.86
25,3.9,3,67,11,11,2,40,15,150.35
24,3.88,4,64,7,12,3,31,7,107.99
44,9.07,2,43,9,14,6,61,17,164.93
40,5.54,5,43,13,15,6,54,14,83.21
28,4.65,4,39,4,13,3,34,6,99.55
14,5.59,4,41,1,8,3,22,8,38.13
44,7.36,2,67,2,14,5,49,5,208.1
0,3.17,5,63,14,10,1,17,17,1.95
24,5.6,4,70,5,13,3,41,17,73.63
6,6.7,4,39,10,15,6,19,13,9.96
8,9.59,1,46,10,14,4,21,13,55.52
23,4.02,4,46,4,17,6,36,13,89.27
0,4.87,1,96,10,13,6,3,3,0.0
43,5.03,5,91,3,16,5,46,3,102.92
7,6.84,5,30,3,16,1,21,14,9.05
23,4.85,5,41,4,8,1,37,14,57.87
10,6.27,3,33,1,8,3,27,17,30.53
16,8.25,5,71,8,8,2,29,13,26.4
7,7.64,4,42,1,15,6,7,0,16.06
34,5.57,2,33,9,17,0,43,9,181.61
34,8.91,1,98,1,14,2,53,19,262.81
32,6.47,3,48,9,10,2,41,9,112.19
4,6.32,5,31,13,9,1,13,9,3.34
41,2.27,5,41,8,11,1,42,1,246.29
38,9.89,2,35,13,10,5,45,7,133.11
40,2.98,2,37,2,14,5,40,0,463.48
27,3.85,3,80,14,17,1,27,0,140.74
6,2.41,1,40,9,15,4,9,3,148.25
8,7.12,5,92,6,13,4,14,6,18.3
7,3.8,3,86,3,10,0,15,8,42.59
11,3.44,4,41,12,13,1,26,15,57.27
33,2.71,4,31,12,9,3,37,4,177.44
32,2.83,3,37,5,14,5,33,1,248.63
47,6.68,5,40,13,17,1,57,10,85.32
22,7.51,3,82,3,14,4,39,17,63.14
23,5.18,5,39,9,11,1,41,18,60.65
36,5.84,2,37,14,15,4,48,12,184.05
34,7.49,3,65,6,11,1,44,10,109.2
43,2.14,5,43,0,14,6,62,19,278.61
39,4.59,3,83,2,11,3,57,18,196.13
21,9.78,3,50,12,12,0,37,16,51.87
26,6.64,5,79,2,14,6,30,4,55.13
34,4.03,5,68,0,17,3,46,12,99.77
0,6.17,1,49,5,10,4,19,19,3.21
34,4.74,3,36,14,17,5,34,0,140.09
36,6.26,4,38,12,12,5,45,9,100.2
46,3.01,3,30,10,10,2,53,7,347.33
13,3.06,3,55,13,12,3,20,7,98.27
2,3.15,5,67,8,10,1,20,18,9.35
0,9.52,3,67,7,17,0,5,5,5.03
4,7.86,3,90,10,14,1,15,11,7.01
25,3.3,4,73,6,8,1,31,6,111.87
13,3.51,5,73,9,16,3,28,15,46.95
38,7.85,3,91,7,16,0,46,8,97.86
26,3.25,2,35,5,12,2,35,9,276.6
8,3.88,1,46,8,16,6,17,9,120.95
14,9.71,4,80,2,17,1,23,9,19.86
14,4.04,3,67,14,13,0,33,19,83.39
25,7.29,2,53,9,12,2,40,15,118.11
41,9.83,3,80,9,10,6,41,0,97.07
12,4.99,3,39,8,15,1,28,16,47.71
31,2.14,5,50,3,11,0,44,13,196.35
38,3.95,5,99,6,17,6,56,18,118.15
48,8.65,5,86,14,10,3,64,16,78.11
31,8.92,2,68,12,13,5,44,13,126.86
3,8.15,3,62,8,15,5,10,7,4.32
29,2.9,1,88,1,16,1,37,8,601.46
36,8.36,4,47,1,13,1,43,7,70.31
22,9.35,5,85,8,12,6,34,12,32.94
38,6.8,5,86,11,9,0,54,16,69.94
44,9.53,3,77,12,9,5,62,18,86.15
14,8.61,3,71,2,16,1,20,6,31.89
42,7.34,2,56,8,9,2,58,16,170.07
28,6.62,2,81,12,9,1,28,0,124.83
35,4.79,5,71,14,10,5,39,4,102.02
12,3.27,3,61,4,10,4,17,5,87.65
31,6.84,1,55,5,11,5,32,1,312.34
6,4.54,4,54,1,14,2,21,15,23.39
21,8.93,3,52,7,16,0,25,4,47.37
27,9.95,3,86,10,9,2,31,4,54.29
1,8.02,2,81,8,11,4,12,11,1.03
41,2.72,4,60,1,16,4,43,2,229.11
44,4.31,5,93,5,9,1,59,15,123.41
5,2.87,3,62,5,17,1,10,5,35.99
27,7.2,5,31,7,8,5,41,14,42.55
27,8.12,3,47,9,17,3,41,14,65.11
43,9.41,5,76,11,15,2,58,15,54.33
43,5.51,4,62,4,16,5,62,19,112.56
19,9.21,2,64,8,14,3,31,12,66.1
29,9.02,4,80,0,15,5,40,11,46.41
10,4.54,1,47,8,11,4,19,9,153.63
27,8.95,2,59,9,11,1,40,13,102.1
24,5.01,4,73,6,9,1,25,1,68.87
38,4.37,1,82,3,15,5,40,2,518.7
32,7.19,3,39,2,9,1,40,8,87.61
0,4.63,3,81,13,16,0,10,10,0.0
26,7.04,5,78,9,11,5,36,10,57.45
12,6.88,2,40,14,8,4,21,9,55.5
40,6.51,3,95,10,11,6,53,13,144.45
2,5.04,2,87,13,10,5,10,8,17.19
38,6.39,3,65,5,13,5,57,19,133.82
5,6.77,5,62,11,14,1,14,9,6.52
7,6.37,4,76,12,15,4,15,8,13.17
26,5.56,5,42,0,9,5,30,4,60.17
8,2.12,1,69,2,13,1,15,7,259.06
36,6.7,3,97,1,13,2,46,10,119.89
32,3.35,1,71,10,17,4,32,0,572.26
41,7.14,1,48,12,12,3,50,9,395.47
43,8.07,2,48,8,17,0,43,0,160.56
